Time,Abundance
56.76987,248.4241
56.78,357.6421
56.79013,581.9986
56.80027,790.3654
56.8104,853.1968
56.82053,731.3978
56.83067,549.9852
56.8408,395.7706
56.85093,318.4524
56.86107,283.9061
56.8712,258.5154
56.88133,249.9561
56.89147,243.721
56.9016,232.8322
56.91173,238.614
56.92187,229.4862
56.932,236.614
56.94213,239.2164
56.95227,246.9529
56.96242,242.9985
56.97255,249.4633
56.98268,243.9803
56.99282,239.9588
57.00295,249.3627
57.01308,246.397
57.02322,245.2199
57.03335,249.6596
57.04348,268.6582
57.05362,269.6632
57.06375,275.2891
57.07388,268.8102
57.08402,286.9403
57.09415,338.794
57.10428,406.3879
57.11442,433.4029
57.12455,401.9512
57.13468,348.0364
57.14482,328.7268
57.15495,310.4045
57.1651,320.1644
57.17523,347.955
57.18537,339.5557
57.1955,328.6295
57.20563,323.9478
57.21577,309.8925
57.2259,313.009
57.23603,313.892
57.24617,311.7607
57.2563,308.3167
57.26643,320.6092
57.27657,313.5068
57.2867,311.2519
57.29683,312.6122
57.30697,330.5355
57.3171,330.926
57.32723,342.5291
57.33737,333.3805
57.3475,329.1015
57.35763,320.8712
57.36777,336.5063
57.37792,325.6864
57.38805,344.3832
57.39818,379.9282
